trial,accuracy,duration_s,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_x,norm_y,simplification_epsilon,skel_threshold
91,0.756285,122,14.7346313575693,0.22030462455355565,1.0882797574639718,0.2446500739517714,0.17951654821155838,8.599453890031317,285.2839834868078,3.955446968202006,2.3151454480526583,3.059049404265304,2.6211301815552743,4.5832600735822595,150
92,0.706427,163,16.807394698629064,0.3378448659285013,1.2087135556763242,0.15556018864447757,0.1930200757110187,8.897489351339324,279.80348544592573,2.2025443917296643,1.8143312862942158,4.279061797780448,2.581534176647642,4.167302725217967,130
93,0.761954,148,14.155958946407974,0.2617355010588207,1.0063309483621057,0.09511065836250253,0.1614249480380649,11.96472145121993,244.26923440697323,1.7054478875312096,1.9363572894261216,3.358994915696501,3.0067653502939367,4.983185158546144,150
94,0.762468,118,21.59008500293765,0.25400514842227595,1.1193251705799576,0.2003572918593544,0.13883294901269344,9.475108506356474,271.8318268208959,3.3930569042780867,2.5932619211196206,4.104591934633761,2.624922594182121,4.861060828127544,130
95,0.740493,116,21.868344168854744,0.2891675076399783,1.2296462896404823,0.18216597826213404,0.19150713400386032,10.208725808608305,234.17605673423594,2.0187196643524348,2.2765865583101488,4.1785591101001724,3.099537047481631,5.094240282135759,140
96,0.749743,147,9.300477674340053,0.2208812828967041,1.1623135403690394,0.15875758054174866,0.23666090812931057,13.603245497893058,261.56583044056504,3.8335992579288236,2.0976711244613817,4.06148961563683,2.977399091068126,4.250769508546245,140
97,0.769112,123,11.050676044681074,0.23704669909338966,1.2947167294444935,0.23142693914869938,0.2092864778066051,9.825797581482373,260.0758985539493,2.297778472204631,1.8892392410975676,4.7030796815414435,3.437958629470415,4.8734264296643905,150
98,0.763104,179,19.21690142761743,0.2386044032756725,1.0668085126906925,0.15370734205540693,0.16984365201597182,9.187074517826456,254.34378075500229,3.084430027607599,1.8250530972752788,4.307626234659215,3.8577095872860165,3.7955657594882175,150
99,0.763253,129,11.612194805072676,0.2532389242855788,1.003883468006638,0.14337923461544755,0.2045424095535368,8.205721869047832,226.05592309276057,3.1760673021533115,2.1184679862009608,4.423618825045402,3.8764074384110048,5.063041926605578,140
100,0.747688,157,30.579998949904986,0.23134441809785372,1.1188690492061053,0.20948612566215785,0.2028572700500198,12.57873878209887,270.92645523225093,4.179385500256652,1.803082073141358,4.43115430900877,2.6112095826778017,4.367702533564396,140
