trial,accuracy,state,duration_seconds,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
120,0.6769,COMPLETE,323.0,14.092225,0.306722,1.222594,0.185301,0.162862,10.180537,307.748584,3.306689,1.799398,2.43573,2.367467,3.080937,3.421349,160,1,1,1,1,0,1
121,0.7149,COMPLETE,142.1,28.007205,0.266419,1.175994,0.216154,0.185419,9.546837,293.724725,2.39786,2.130646,1.91405,1.69465,2.926399,5.326922,140,1,1,1,1,0,1
122,0.7205,COMPLETE,270.8,4.979986,0.238871,1.333524,0.161116,0.147589,12.655105,200.050992,3.378669,2.037429,1.42877,2.628236,2.585947,3.971207,150,1,1,1,1,0,1
123,0.6903,COMPLETE,208.8,14.436225,0.27246,1.321671,0.221954,0.198219,10.151105,167.967068,1.58776,2.09362,2.599153,3.209276,2.76812,4.643846,150,1,1,1,1,0,0
124,0.7021,COMPLETE,229.6,19.095922,0.267506,1.186401,0.139067,0.158528,10.424937,241.646942,2.724361,0.898179,1.165203,2.363132,2.255347,3.861482,160,1,1,1,1,0,1
125,0.7076,COMPLETE,277.4,17.794156,0.251637,0.882847,0.193861,0.198855,9.243652,229.616933,2.809652,1.93492,2.167713,2.648534,2.310051,4.115081,130,1,1,1,1,0,0
126,0.6957,COMPLETE,468.2,12.769445,0.259227,1.125515,0.185061,0.155952,11.456127,271.208684,4.326759,1.582217,1.791709,3.155218,2.966167,3.400943,130,1,1,1,1,0,0
127,0.7237,COMPLETE,161.2,26.347313,0.24133,1.361087,0.271111,0.166443,12.260056,190.721913,2.886898,1.854239,2.059783,2.768063,2.412443,5.072363,130,1,1,1,1,0,1
128,0.7055,COMPLETE,127.7,11.925105,0.213581,1.005164,0.221982,0.152245,14.909063,209.451761,2.171158,1.648055,1.264541,1.856699,2.239183,5.572808,160,1,1,1,1,0,0
129,0.7331,COMPLETE,149.5,6.222569,0.23675,1.427265,0.22973,0.197897,12.53344,229.564206,1.43551,2.410754,1.704231,2.390648,2.268868,4.991168,150,1,1,1,1,0,1
130,0.6877,COMPLETE,120.6,68.847151,0.273656,1.60794,0.19894,0.181703,10.985073,148.017209,4.11176,2.342533,3.16388,2.209016,2.291447,6.74509,160,1,1,1,1,0,1
131,0.6884,COMPLETE,148.0,22.595024,0.311907,1.267599,0.19371,0.17722,10.648203,149.705192,1.83327,1.767407,1.682436,2.450496,2.108165,5.693596,140,1,1,1,1,0,1
132,0.7374,COMPLETE,249.5,32.728786,0.260866,1.501373,0.234311,0.148468,11.42191,223.57769,3.382865,2.370048,2.509128,1.801118,3.30143,4.168768,140,1,1,1,1,0,1
133,0.721,COMPLETE,348.3,23.91379,0.215068,1.348251,0.21144,0.145702,10.229224,292.68699,3.576436,1.634272,2.272654,3.098294,1.699764,3.41874,150,1,1,1,1,0,1
