trial_number,value,fold,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
86,0.775951,2,0.9686,3.7705,3.8107,0.6597,1.0844,2.9579,280.1191,283.0406,2.5894,9.7049,47.0385,5.4659,5.7564
87,0.779609,3,0.5408,4.2272,3.7044,0.555,2.9202,3.642,260.8762,261.7455,2.9797,9.9325,35.3033,5.2948,6.3742
88,0.771208,0,0.9385,2.7479,3.1238,2.2754,2.2079,2.7498,215.683,174.4632,3.4374,7.2825,42.8056,7.3978,6.6261
89,0.784354,1,1.3492,1.6369,5.4364,1.6612,3.0152,3.8877,128.6721,159.8697,3.6451,9.4409,71.5119,4.8177,7.0869
90,0.771561,2,1.0595,1.5327,5.623,1.2459,2.6243,3.8381,192.6635,235.2166,2.6881,8.473,43.4889,6.3753,4.1078
91,0.776119,3,1.0485,2.7003,4.0872,2.3706,1.252,4.4685,179.7229,243.7778,4.0885,10.0706,49.7332,2.459,4.7981
92,0.759774,0,1.203,3.9983,3.169,0.4809,1.0651,2.3627,269.9915,189.3224,2.9344,7.5226,59.1225,5.8683,6.5431
93,0.781893,1,1.0784,2.4216,3.166,1.5414,1.6251,5.3618,286.7577,294.8448,3.1454,13.0024,50.0169,5.4841,5.0845
94,0.770812,2,1.3556,2.7379,2.4117,1.8595,2.2107,2.6543,196.1308,179.9624,2.356,10.0341,42.7113,4.5324,7.1682
95,0.771722,3,0.9244,2.5331,1.751,1.3434,1.9685,3.4851,213.6424,256.1558,2.3141,6.7611,68.3854,4.2115,7.3074
96,0.75463,0,1.3334,4.2951,6.1239,1.8664,1.1646,3.9875,147.7215,158.4732,2.6016,6.7097,45.9934,4.2629,5.5842
97,0.786413,1,1.0434,1.6275,3.8366,1.6071,1.5339,4.1163,154.1856,246.3502,2.9025,14.0941,55.6101,4.7217,6.399
98,0.772354,2,0.7052,2.3617,3.2299,1.969,2.0686,3.0509,164.2012,258.6747,3.4991,7.7406,66.7321,6.9136,6.9111
99,0.772237,3,1.4261,4.7008,4.7108,0.739,1.2488,3.1579,162.825,315.9082,3.5496,11.6063,50.8492,3.7343,7.3046
100,0.774923,0,1.1743,1.0321,2.8017,1.0124,2.934,5.0502,165.9352,254.5819,3.6318,9.0278,60.8211,4.996,6.9673
101,0.784465,1,1.083,4.5717,4.0539,1.7571,1.2296,4.8574,162.6836,268.6823,2.7642,9.0043,61.0677,5.1498,5.7137
102,0.773895,2,1.2825,4.1857,4.6739,1.8817,2.4765,4.5648,230.5732,231.3254,3.7971,12.6424,42.0954,4.438,6.7912
103,0.786228,3,0.9746,1.6767,4.5531,1.6213,2.6738,1.8622,251.441,232.8517,2.3201,7.4718,56.9434,3.342,4.2855
